studentID,answers
0,0;1;1;0,0;0;0;0,0;1;1;0,0;1;1;0,0;1;0;0,0;0;0;1,0;1;0;0,1;1;0;0,1;0;1;0,0;1;0;0,1;0;1;1,1;0;0;1,0;0;1;1,0;0;1;0,0;1;0;0,1;1;1;1,0;1;1;0,1;0;1;1,1;1;1;1,1;1;1;0
1,1;0;1;1,1;1;1;0,0;1;1;1,1;1;1;1,0;1;0;0,1;1;1;1,0;1;0;1,1;1;1;0,1;1;1;0,1;1;1;1,0;1;0;1,0;1;1;1,0;0;0;1,1;1;1;1,1;1;1;0,0;0;0;1,1;1;0;1,1;1;1;1,1;1;1;0,0;1;1;1
2,0;1;0;0,0;1;1;0,1;0;0;1,0;1;1;0,0;0;0;0,0;0;1;0,1;0;0;1,1;1;1;1,1;0;1;1,0;0;0;1,0;0;1;1,0;1;1;0,0;1;1;1,0;1;1;0,0;1;1;0,0;0;0;0,0;0;1;0,1;0;0;0,1;1;0;0,0;1;1;0
3,0;0;0;0,0;1;0;1,0;1;0;1,1;1;1;1,0;1;1;1,0;0;1;1,0;1;0;1,0;1;0;1,0;1;1;1,1;1;0;0,0;0;0;1,1;1;1;1,1;1;1;1,0;0;0;0,1;1;1;1,0;1;0;0,0;0;1;0,0;0;1;0,1;0;0;0,0;0;0;1
4,1;1;1;1,0;0;1;0,1;1;0;1,0;1;1;0,1;0;0;1,1;1;1;0,0;0;0;1,0;1;0;1,1;1;1;1,1;1;0;0,0;0;1;1,0;0;0;1,1;1;0;1,0;0;0;1,1;1;1;1,1;1;1;0,0;0;1;1,0;0;0;1,1;1;0;1,0;1;0;1
5,0;1;0;0,0;0;1;1,0;1;0;0,1;0;1;1,1;0;1;1,1;1;1;1,1;0;1;1,1;1;1;0,0;0;1;1,1;0;0;1,0;0;1;0,1;0;1;0,0;0;1;0,0;0;1;1,0;0;1;1,1;0;0;1,1;1;0;0,0;1;1;0,1;0;0;0,0;0;1;1
6,1;0;0;0,0;0;1;1,1;1;1;0,0;0;1;1,0;1;1;1,0;1;0;0,0;0;0;0,0;1;1;0,1;0;0;0,0;0;1;0,1;0;0;1,0;0;0;1,0;0;0;1,1;1;0;0,1;0;0;1,1;0;0;1,0;1;0;1,1;1;0;0,1;0;1;1,0;0;0;1
7,0;0;1;1,0;0;0;0,0;1;0;0,0;1;1;0,0;0;1;0,1;0;0;0,0;1;0;0,1;0;1;1,0;0;0;1,1;1;0;0,1;0;1;1,0;1;1;1,0;0;1;0,0;1;0;0,0;1;1;1,0;1;0;0,1;0;0;1,0;1;1;1,1;1;0;0,1;0;1;0
8,1;0;1;1,1;0;1;0,1;0;0;1,0;0;0;1,1;1;1;0,0;1;0;0,0;0;1;0,0;1;1;1,0;0;0;0,1;1;1;1,1;0;0;1,1;1;0;1,0;1;0;1,1;1;0;1,0;0;0;1,0;1;1;0,1;1;1;0,1;1;1;1,0;1;0;0,1;0;0;1
9,1;1;1;1,0;1;1;0,1;0;0;1,1;0;0;0,0;1;0;1,1;0;0;1,0;0;1;1,1;1;1;0,1;0;1;0,1;0;1;1,0;1;1;1,0;0;1;1,0;0;1;0,1;0;0;1,0;1;0;1,1;1;1;0,0;1;0;1,1;1;1;0,0;1;0;0,1;0;0;0
10,0;1;0;0,0;0;0;1,0;1;0;0,0;1;1;0,1;1;1;1,0;0;0;1,1;0;1;1,1;1;1;1,1;1;0;0,0;1;1;0,0;0;1;0,0;0;0;0,0;1;0;1,1;0;0;0,1;0;1;1,1;1;0;1,0;0;0;1,1;1;1;0,1;1;0;1,1;1;0;1
